自身免疫性胃炎	胃炎
沸水烫伤未愈肉芽创面21％躯干双下肢左?	沸水烫伤##躯干部烫伤##下肢烫伤
滑膜炎左膝滑膜皱襞综合症	滑膜炎##膝关节滑膜皱襞综合征
右侧基底节多发陈旧性腔隙行梗塞	基底节脑梗死##腔隙性脑梗死##多发性脑梗死##陈旧性脑梗死
背部皮肤擦伤	躯干浅表擦伤
右上肺周围型中分化肺癌IIIa	右肺上叶恶性肿瘤##癌
2左额颞顶部颅骨缺损右颞右枕骨折	颅骨骨折
免疫性血小板减少症伴失血性贫血	免疫性血小板减少##失血性贫血
右肾及输尿管结石	肾输尿管结石
右肱骨外髁骨折神经损伤	肱骨外髁骨折##上肢神经损伤
大汗腺炎	未特指的顶(浆分)泌汗腺疾患
掌指角皮病复诊取药	角化病
原发性高压3级	原发性高血压##高血压3级
左侧肢体活动不灵伴意识不清原因待查	意识障碍
"失眠,静脉曲张,行动不便"	失眠##静脉曲张
右肾盂输尿管占位	肾占位性病变##输尿管占位性病变
双鼻腔新生物送检为霉菌倾向曲菌	鼻腔息肉##曲霉菌病
活检组织显示B淋巴细胞高度增生	淋巴细胞增殖性疾病
甲状腺乳头状癌二次术后复发	甲状腺恶性肿瘤##甲状腺术后##甲状腺乳头状癌##恶性肿瘤复发
右腮腺肿物	唾液腺肿物
腰5椎体横突撕脱性骨折	腰椎骨折L5
结节型S7结节型剖宫产后	无指征剖宫产的单胎分娩
颈椎硬膜外血肿并截瘫	未特指的截瘫##硬脊膜外血肿
"左足底黑色素瘤扩大切除术后,左下肢肌肉间转移，肺、肝转移？,胃溃疡"	足部恶性肿瘤##恶性黑色素瘤##下肢继发恶性肿瘤##肺继发恶性肿瘤##肝继发恶性肿瘤##胃溃疡##转移性恶性黑色素瘤
前列腺癌；糖尿病；高血压	前列腺恶性肿瘤##癌##糖尿病##高血压
急性非ST段抬高型心肌梗塞PCI至RCA	冠状动脉支架植入术后状态##急性非ST段抬高型心肌梗死
双耳极重度感音性聋	双侧感音神经性聋
腹泻病急性轻型3卵圆孔未闭	卵圆孔未闭
两侧基底节腔隙性梗塞	腔隙性脑梗死##基底节脑梗死
"横结肠癌 肠道出血 缺铁性贫血,叶酸缺乏,乙型肝炎"	横结肠恶性肿瘤##肠出血##缺铁性贫血##叶酸缺乏##O##癌
淋巴细胞减少症	淋巴细胞减少
双眼真性小眼球	真性小眼球
右侧胸腔积血并积气	血气胸
带状疱疹性神经痛	带状疱疹后神经痛
主动脉中度关闭不全伴轻度狭窄	动脉狭窄##主动脉瓣关闭不全
自身免疫性疾病不除外	自身免疫病
骶前神经鞘瘤术后	神经鞘瘤##骶前良性肿瘤
夜尿多待查	尿频
1.腹痛待查2.多动待查	腹痛##注意缺陷与多动障碍
